"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23"
"CMI080C",0.0651910708900948,0.113177971055874,-0.0543780911485452,0.0128865290300714,0.0145870637067804,0.0452980657592531,0.0506619109033796,0.0440321680589797,-0.0611650090168738,0.023663302271687,-0.00243209270217206,-0.0152114433850635,0.0322438590462969,0.00253093297822853,-0.0261432406042349,0.0331226300720728,-0.0276316186394243,0.0665508101660024,0.0138188710046919,0.0496436870131837,-0.0446813369703411,0.0253329098123326,-0.0134622365702811
"CMN283C",-0.0589764968055688,0.122297651461018,0.0289357685356389,0.0494324398738152,-0.0122692168465587,0.0412055306319481,0.00167817959633428,0.000945793228443081,-0.0293265331725843,-0.0074938241031889,-0.0634478198363563,-0.0120513822159326,0.0179296517808047,0.0176168888964574,-0.0188002648052511,0.00297126974078822,0.0515211521762677,0.0593778026832077,0.0119249411489022,0.0171257062334089,0.0374565996440696,0.0028862791392832,0.00671701964477133
"CMK203C",-0.0943853102716434,0.0465742411545397,0.0472402030717253,0.0192862686648355,-0.0335716661049754,0.0262618044689511,-0.0442970370143575,-0.0379293814028629,0.0383908190933321,-0.0215701356849612,-0.0386746692609083,0.0305385871336912,0.000179136864534982,0.0223818807284409,-0.032218882192433,0.0225512393757686,0.0426672954304854,-0.0118775647379216,-0.0291708839884365,-0.000655147985232473,-0.010701585450618,-0.0583074600920618,-0.0220117482890398
"CMC188C",0.0950176199180147,-0.000187566434829061,0.0292736369752186,0.055368926210409,0.114124065889117,-0.0584638638203988,-0.0385314536905449,-0.015500896408471,-0.09430571137816,0.0111577349789861,-0.0159121876485193,-0.00953207690919646,-0.0584155762360815,0.0592176946411812,-0.0232433600805551,-0.0156516393351709,-0.0303651312012194,-0.0360402326097163,-0.0366742571824583,0.0626011262695154,0.0905743392045106,0.0385119939095949,-0.00204559629309641
"CMV013C",-0.0946862026361201,-0.0262506435409898,-0.0471547553792893,0.0355772592281126,-0.0304956780798739,-0.0669195698409945,0.0514706787593235,-0.084787827220821,-0.0646017799718533,0.0377522482312065,-0.074727136655431,-0.0258225947873818,0.0400666933245952,-0.059869462309872,0.00825795227905315,-0.000614028830473969,0.00124371212554945,0.00165876697843821,-0.056646512603562,-0.00710211895039783,0.0155989324065846,-0.0776752500982028,-0.0757452501242153
"CMK115C",0.0909546544015724,-0.0275652238699383,0.072677177644939,0.00698260540536508,0.029761335714066,-0.015625526195552,-0.0228906740994683,0.0129204079144189,-0.0479029027684364,-0.00749212675281727,-0.001598800525874,0.0147199199190478,-0.00565256940522062,0.00573812340197629,-0.0338612752600462,0.00742000016200797,-0.0298057618665762,-0.00555161396485393,0.00137478438893624,-0.0315512965675149,-0.0104837632777765,-0.00412815974930065,0.00939839956649508
"CMV014C",-0.0908278667680014,-0.0308556793610726,-0.0411756051575712,0.0375554842139695,-0.0229668791202117,-0.0695278264692718,0.0441700900977576,-0.0743875933738323,-0.0700852754574688,0.0822915235463633,-0.07027027941088,-0.03908202764132,0.0151565291516858,-0.103258341164017,0.00025227955840789,-0.0241412430416362,-0.0184684778498052,0.0478962039489145,-0.0156054574543119,0.0132613464551475,0.116758821630597,0.0284165610206111,0.059725061409715
"CMT312C",0.0922227886227185,-0.00983247802998777,0.0582452386936093,-0.0338747482653854,0.0133731615196367,0.00782709598545213,-0.0115493800308968,0.025474806456172,0.0346307734196363,-0.0198126887507148,0.0478192780951272,0.0388346823786613,0.0504633986051963,0.0319811731398796,-0.081693410113809,0.0406293634710586,-0.0149470279619451,-0.0850818020220783,0.00119094710497403,0.0136723153044796,0.00561286969211669,-0.00969188101828663,0.0595503031284101
"CMA142C",-0.0652098401043366,0.0684037479608416,0.11599870869193,0.0318227536476769,-0.0465124104000718,0.00971829102393407,0.0837542732036244,-0.0516177201131762,0.0680301726702076,-0.0705376767609594,-0.0222203130764537,0.00849158989789027,-0.0304616408282193,-0.00916421124263102,-0.0392141291372646,-0.0909535268951219,-0.0115513061853485,-0.0951907381800024,-0.0206282411679972,-0.0156815479266497,-0.0359204259295383,0.0609523768284536,0.0181301985427624
"CME183C",-0.0880918929295061,0.0477019890325139,-0.0234688146331389,-0.00776652508099594,-0.0348852401033855,0.0155348911468916,0.0222987700470125,-0.0722910961754964,-0.0086485921438668,-0.0300035429138716,-0.0118507259566636,-0.0140719996981166,0.0632809152510095,-0.0663940828965202,0.0250015914905748,-0.0072833185836929,0.0107646870617934,-0.0038418671887828,0.00556124075634263,-0.00992251947733995,0.0287427365299812,-0.00469382830271067,-0.0369417000006209
"CMT284C",0.0789076604437897,-0.0370083975619037,0.076834174283249,0.0419299117778178,0.0851798276799773,0.0390417902093755,-0.131748434995969,-0.122795024520075,-0.002333939118705,-0.0348128847817173,-0.00548720049133445,-0.0808058186430298,-0.128413145740746,0.061543276161934,0.0899083022129773,0.0246618931977167,0.108399672716254,0.0146082361698609,-0.113797192645779,-0.0843364408708993,-0.128504504648633,0.142603672410084,0.00939907133890191
"CMR004C",0.00127214647089213,0.125188574947692,-0.0677147485322577,0.0637169638218339,-0.0783319608797425,0.0402904844910815,0.0426254547632031,-0.088925116023882,-0.0580918787544642,-0.033763123456821,-0.0320337349928303,0.00412353082484553,0.0190552230812748,-0.0477568489928721,0.0413020837527524,0.0102818772164728,0.000969448332436468,0.0365149064386474,-0.0637288862901784,0.0379195581640044,-0.0344144151483368,-0.0130506642257175,0.0057074038834593
"CMJ308C",-0.0678097045207587,-0.0559008401729495,-0.1076370215589,-0.0608816501161011,0.0394929195223705,-0.0516091316965098,-0.00176873575699996,-0.114699882327952,-0.0742911254647552,-0.0598547404343411,-0.0679130733968653,-0.0161855975254282,0.0653582910440516,0.0874729200808101,-0.0177563232493313,0.0193101643586444,-0.0522530233078152,-0.037416010494292,-0.00690690694400308,-0.0308523916703666,-0.0820341026452282,-0.0910080661047221,-0.0553399314364396
